,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm,TF
MS00412|ZNF410,0.7029680503308778,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,zinc finger protein 410,Homo Sapiens,293FT,57862,ZNF410,,NM_021188,,,,,,,,,,,,,"[[[0.166, 0.176, 0.238, 0.420], [0.430, 0.460, 0.100, 0.010], [0.010, 0.888, 0.010, 0.092], [0.970, 0.010, 0.010, 0.010], [0.012, 0.010, 0.031, 0.947], [0.017, 0.963, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.969, 0.010, 0.011, 0.010], [0.268, 0.322, 0.155, 0.255], [0.042, 0.202, 0.194, 0.562], [0.198, 0.650, 0.023, 0.129]]]",ZNF410
MS00454|EVX1,0.7049298330023559,,SELEX,,9,,23332764,Homeodomain Family,,even-skipped homeobox 1,Homo Sapiens,293FT,2128,EVX1,,NM_001989,,,,,,,,,,,,,"[[[0.248, 0.229, 0.392, 0.131], [0.259, 0.317, 0.334, 0.090], [0.102, 0.200, 0.023, 0.675], [0.494, 0.222, 0.239, 0.045], [0.951, 0.010, 0.029, 0.010], [0.010, 0.010, 0.032, 0.948], [0.026, 0.053, 0.020, 0.901], [0.888, 0.010, 0.082, 0.020], [0.169, 0.266, 0.344, 0.221], [0.181, 0.421, 0.248, 0.150]]]",EVX1
MS00614|SHOX,0.7049776883758267,,SELEX,,9,,23332764,Homeodomain Family,,short stature homeobox,Homo Sapiens,293FT,6473,SHOX,,NM_000451|NM_006883,,,,,,,,,,,,,"[[[0.149, 0.381, 0.186, 0.284], [0.067, 0.446, 0.021, 0.466], [0.889, 0.038, 0.030, 0.043], [0.968, 0.012, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.037, 0.035, 0.025, 0.903], [0.935, 0.010, 0.010, 0.045], [0.377, 0.173, 0.319, 0.131]]]",SHOX
UP00252|HOXC5,0.7069788073951611,,UniPROBE,,9,,18585359,Homeodomain Family,,homeobox C5,Homo Sapiens,,3222,HOXC5,CP11 HOX3 HOX3D,NM_018953|NR_003084,86.0,,,,,,,,,,,,"[[[0.129, 0.615, 0.167, 0.089], [0.175, 0.212, 0.463, 0.150], [0.463, 0.342, 0.088, 0.107], [0.508, 0.091, 0.316, 0.085], [0.081, 0.244, 0.126, 0.549], [0.021, 0.099, 0.010, 0.870], [0.931, 0.049, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.017, 0.010, 0.010, 0.963], [0.010, 0.010, 0.049, 0.931], [0.878, 0.010, 0.099, 0.013], [0.548, 0.126, 0.244, 0.082], [0.100, 0.215, 0.104, 0.581], [0.343, 0.171, 0.134, 0.352], [0.676, 0.148, 0.097, 0.079], [0.233, 0.289, 0.190, 0.288], [0.249, 0.217, 0.198, 0.336]]]",HOXC5
MS00753|SOX18,0.7073490266311984,,SELEX,,9,,23332764,High Mobility Group (Box) Family,,SRY (sex determining region Y)-box 18,Homo Sapiens,FT293,54345,SOX18,,NM_018419,,,,,,,,,,,,,"[[[0.854, 0.040, 0.089, 0.017], [0.026, 0.010, 0.010, 0.954], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.322, 0.023, 0.050, 0.605], [0.172, 0.121, 0.444, 0.263], [0.010, 0.932, 0.010, 0.048], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.129, 0.851], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.955, 0.010, 0.019, 0.016], [0.041, 0.010, 0.025, 0.924]]]",SOX18
UP00161|Hmbox1,0.7111683031484483,,UniPROBE,,9,,18585359,Homeodomain Family,,homeobox containing 1,Mus Musculus,,219150,Hmbox1,AI451877 AI604847 F830020C16Rik,NM_177338,198.0,,,,,,,,,,,,"[[[0.254, 0.227, 0.305, 0.214], [0.366, 0.201, 0.096, 0.337], [0.440, 0.097, 0.335, 0.128], [0.456, 0.147, 0.218, 0.179], [0.467, 0.088, 0.140, 0.305], [0.010, 0.852, 0.017, 0.121], [0.010, 0.010, 0.033, 0.947], [0.688, 0.010, 0.292, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.012, 0.968], [0.111, 0.010, 0.010, 0.869], [0.937, 0.010, 0.021, 0.032], [0.637, 0.058, 0.103, 0.202], [0.130, 0.441, 0.135, 0.294], [0.333, 0.128, 0.262, 0.277], [0.253, 0.112, 0.200, 0.435], [0.074, 0.427, 0.306, 0.193]]]",Hmbox1
MS00153|POU5F1P1,0.7192118341068073,,SELEX,,9,,23332764,Homeodomain Family,,,Homo Sapiens,293FT,,POU5F1P1,,,,,,,,,,,,,,,"[[[0.578, 0.081, 0.056, 0.285], [0.157, 0.043, 0.028, 0.772], [0.202, 0.030, 0.719, 0.049], [0.596, 0.369, 0.014, 0.021], [0.879, 0.019, 0.026, 0.076], [0.076, 0.013, 0.010, 0.901], [0.933, 0.010, 0.010, 0.047], [0.115, 0.025, 0.018, 0.842], [0.030, 0.012, 0.558, 0.400], [0.058, 0.738, 0.030, 0.174], [0.858, 0.020, 0.029, 0.093], [0.464, 0.056, 0.077, 0.403]]]",POU5F1P1
MS00467|Gbx1,0.7230267588330627,,SELEX,,9,,23332764,Homeodomain Family,,gastrulation brain homeobox 1,Mus Musculus,293T,231044,Gbx1,,NM_015739,,,,,,,,,,,,,"[[[0.312, 0.236, 0.271, 0.181], [0.135, 0.440, 0.180, 0.245], [0.047, 0.516, 0.011, 0.426], [0.869, 0.059, 0.035, 0.037], [0.965, 0.015, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.028, 0.043, 0.036, 0.893], [0.935, 0.012, 0.010, 0.043], [0.328, 0.212, 0.325, 0.135], [0.218, 0.344, 0.261, 0.177]]]",Gbx1
MS00536|LHX2,0.7241066167851071,,SELEX,,9,,23332764,Homeodomain Family,,LIM homeobox 2,Homo Sapiens,293FT,9355,LHX2,,NM_004789,,,,,,,,,,,,,"[[[0.331, 0.219, 0.321, 0.129], [0.056, 0.722, 0.096, 0.126], [0.010, 0.244, 0.010, 0.736], [0.869, 0.110, 0.010, 0.011], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.021, 0.054, 0.915], [0.837, 0.010, 0.143, 0.010], [0.398, 0.141, 0.316, 0.145], [0.158, 0.350, 0.247, 0.245]]]",LHX2
UP00130|LHX3,0.7264586543332154,,UniPROBE,,9,,18585359,Homeodomain Family,,LIM homeobox 3,Homo Sapiens,,8022,LHX3,CPHD3 DKFZp762A2013 LIM3 M2-LHX3,NM_014564|NM_178138,86.0,,,,,,,,,,,,"[[[0.227, 0.289, 0.372, 0.112], [0.257, 0.230, 0.249, 0.264], [0.557, 0.228, 0.038, 0.177], [0.632, 0.088, 0.197, 0.083], [0.021, 0.098, 0.010, 0.871], [0.017, 0.030, 0.010, 0.943], [0.957, 0.010, 0.023, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.023, 0.010, 0.957], [0.950, 0.010, 0.030, 0.010], [0.874, 0.010, 0.098, 0.018], [0.426, 0.087, 0.127, 0.360], [0.344, 0.034, 0.079, 0.543], [0.413, 0.281, 0.077, 0.229], [0.338, 0.316, 0.107, 0.239], [0.112, 0.233, 0.311, 0.344]]]",LHX3
MS00748|SOX14,0.729099247245194,,SELEX,,9,,23332764,High Mobility Group (Box) Family,,SRY (sex determining region Y)-box 14,Homo Sapiens,293FT,8403,SOX14,,NM_004189,,,,,,,,,,,,,"[[[0.211, 0.041, 0.010, 0.738], [0.041, 0.939, 0.010, 0.010], [0.968, 0.010, 0.012, 0.010], [0.817, 0.163, 0.010, 0.010], [0.010, 0.012, 0.010, 0.968], [0.606, 0.028, 0.146, 0.220], [0.445, 0.244, 0.189, 0.122], [0.010, 0.970, 0.010, 0.010], [0.961, 0.019, 0.010, 0.010], [0.010, 0.010, 0.114, 0.866], [0.010, 0.010, 0.016, 0.964], [0.010, 0.010, 0.953, 0.027], [0.798, 0.038, 0.028, 0.136]]]",SOX14
MS00450|EN2,0.7298197222743223,,SELEX,,9,,23332764,Homeodomain Family,,engrailed homeobox 2,Homo Sapiens,E.Coli,2020,EN2,,NM_001427,,,,,,,,,,,,,"[[[0.285, 0.261, 0.146, 0.308], [0.143, 0.366, 0.206, 0.285], [0.010, 0.484, 0.010, 0.496], [0.883, 0.013, 0.080, 0.024], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.117, 0.025, 0.848], [0.891, 0.010, 0.015, 0.084], [0.349, 0.232, 0.214, 0.205], [0.196, 0.390, 0.209, 0.205]]]",EN2
MS00605|RAXL1,0.7363373112475402,,SELEX,,9,,23332764,Homeodomain Family,,,Homo Sapiens,293T,,RAXL1,,,,,,,,,,,,,,,"[[[0.137, 0.408, 0.181, 0.274], [0.081, 0.445, 0.038, 0.436], [0.795, 0.063, 0.092, 0.050], [0.922, 0.036, 0.018, 0.024], [0.010, 0.018, 0.010, 0.962], [0.045, 0.089, 0.053, 0.813], [0.841, 0.057, 0.010, 0.092], [0.345, 0.193, 0.318, 0.144]]]",RAXL1
MC00165|Pdx1,0.745037779997817,,Cistrome,,16,,20551221,Homeodomain Family,,pancreatic and duodenal homeobox 1,Mus Musculus,,18609,Pdx1,,NM_008814,,,,,,,616(1/1),-29.4078,(1) denovo|(2) denovo|(3) denovo|(11) Pbx-1,(1)|(2)|(3)|(11),,4.0,"[[[0.381, 0.149, 0.197, 0.273], [0.315, 0.128, 0.304, 0.254], [0.261, 0.302, 0.291, 0.146], [0.259, 0.319, 0.034, 0.388], [0.315, 0.507, 0.081, 0.097], [0.911, 0.033, 0.030, 0.026], [0.027, 0.024, 0.022, 0.927], [0.137, 0.424, 0.020, 0.420], [0.754, 0.045, 0.012, 0.189], [0.889, 0.038, 0.034, 0.038], [0.030, 0.036, 0.030, 0.904], [0.035, 0.736, 0.010, 0.219], [0.835, 0.024, 0.010, 0.131]]]",Pdx1
MS00054|Tcf7,0.7452898860814111,,SELEX,,9,,23332764,High Mobility Group (Box) Family,,"transcription factor 7, T-cell specific",Mus Musculus,293FT,21414,Tcf7,,NM_009331,,,,,,,,,,,,,"[[[0.662, 0.082, 0.140, 0.116], [0.734, 0.029, 0.134, 0.103], [0.930, 0.010, 0.028, 0.032], [0.010, 0.268, 0.712, 0.010], [0.936, 0.010, 0.010, 0.044], [0.010, 0.010, 0.020, 0.960], [0.019, 0.936, 0.026, 0.019], [0.970, 0.010, 0.010, 0.010], [0.969, 0.010, 0.011, 0.010], [0.970, 0.010, 0.010, 0.010], [0.036, 0.010, 0.944, 0.010], [0.160, 0.147, 0.603, 0.090]]]",Tcf7
MC00504|Scx,0.7497811642092757,,Cistrome,,16,,19346495,Helix-Loop-Helix Family,,scleraxis,Mus Musculus,Hematopoietic Progenitor / HPC-7,20289,Scx,BB114693 Bhlha41 Scl,NM_198885,122.0,,,,,,741(1/1),-16.0536,(0) denovo (1) denovo,(0)  (1),,2.0,"[[[0.144, 0.395, 0.366, 0.095], [0.647, 0.069, 0.020, 0.265], [0.033, 0.016, 0.925, 0.026], [0.954, 0.016, 0.010, 0.020], [0.010, 0.036, 0.043, 0.912], [0.951, 0.013, 0.023, 0.013], [0.941, 0.020, 0.006, 0.033], [0.134, 0.108, 0.670, 0.088], [0.288, 0.206, 0.471, 0.036], [0.471, 0.196, 0.229, 0.105]]]",Scx
M01149|Dmrta1,0.7604452611720223,,Transfac,,4,,17605809,DMRT Domain Family,,doublesex and mab-3 related transcription factor like family A1,Mus Musculus,,242523,Dmrta1,Dmrt4,NM_175647,224.0,,,,,,,,,,,,"[[[0.750, 0.050, 0.125, 0.075], [0.700, 0.125, 0.010, 0.165], [0.200, 0.010, 0.010, 0.780], [0.010, 0.010, 0.970, 0.010], [0.025, 0.010, 0.010, 0.955], [0.650, 0.010, 0.075, 0.265], [0.400, 0.010, 0.325, 0.265], [0.010, 0.930, 0.050, 0.010], [0.800, 0.010, 0.175, 0.015], [0.725, 0.025, 0.175, 0.075], [0.350, 0.100, 0.100, 0.450], [0.225, 0.025, 0.175, 0.575], [0.200, 0.150, 0.050, 0.600]]]",Dmrta1
MS00011|BCL6B,0.7655334235260564,,SELEX,,9,,23332764,BetaBetaAlpha-zinc finger Family,,"B-cell CLL/lymphoma 6, member B",Homo Sapiens,293FT,255877,BCL6B,,NM_181844,,,,,,,,,,,,,"[[[0.010, 0.084, 0.010, 0.896], [0.016, 0.010, 0.964, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.010, 0.970], [0.010, 0.970, 0.010, 0.010], [0.010, 0.046, 0.131, 0.813], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.070, 0.010, 0.910], [0.310, 0.655, 0.025, 0.010], [0.534, 0.435, 0.021, 0.010]]]",BCL6B
UP00241|HOXD3,0.7661157036806615,,UniPROBE,,9,,18585359,Homeodomain Family,,homeobox D3,Homo Sapiens,,3232,HOXD3,HOX1D HOX4 HOX4A Hox-4.1 MGC10470,NM_006898,148.0,,,,,,,,,,,,"[[[0.192, 0.368, 0.054, 0.386], [0.187, 0.085, 0.078, 0.650], [0.144, 0.097, 0.598, 0.161], [0.367, 0.095, 0.328, 0.210], [0.236, 0.087, 0.438, 0.239], [0.138, 0.238, 0.291, 0.333], [0.011, 0.145, 0.010, 0.834], [0.856, 0.124, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.124, 0.856], [0.835, 0.010, 0.145, 0.010], [0.374, 0.369, 0.143, 0.114], [0.240, 0.438, 0.087, 0.235], [0.119, 0.367, 0.306, 0.208], [0.090, 0.220, 0.211, 0.479]]]",HOXD3
MS00690|ONECUT3,0.766314515125875,,SELEX,,9,,23332764,Homeodomain Family,,one cut homeobox 3,Homo Sapiens,293FT,390874,ONECUT3,,NM_001080488,,,,,,,,,,,,,"[[[0.467, 0.168, 0.228, 0.137], [0.633, 0.062, 0.188, 0.117], [0.787, 0.035, 0.064, 0.114], [0.801, 0.023, 0.015, 0.161], [0.964, 0.010, 0.016, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.017, 0.010, 0.963], [0.010, 0.970, 0.010, 0.010], [0.631, 0.010, 0.349, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.905, 0.016, 0.028, 0.051], [0.595, 0.142, 0.069, 0.194], [0.306, 0.209, 0.104, 0.381]]]",ONECUT3
MS00106|NFAT5,0.7720526816129528,,SELEX,,9,,23332764,Rel Homology Region Family,,"nuclear factor of activated T-cells 5, tonicity-responsive",Homo Sapiens,293FT,10725,NFAT5,,NM_001113178|NM_006599|NM_138713|NM_138714|NM_173214,,,,,,,,,,,,,"[[[0.507, 0.030, 0.453, 0.010], [0.010, 0.068, 0.010, 0.912], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.968, 0.010, 0.010, 0.012], [0.689, 0.012, 0.087, 0.212], [0.136, 0.088, 0.198, 0.578], [0.034, 0.067, 0.010, 0.889], [0.762, 0.218, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.455, 0.199, 0.046, 0.300], [0.297, 0.149, 0.427, 0.127]]]",NFAT5
MS00148|POU4F1,0.7754552126704283,,SELEX,,9,,23332764,Homeodomain Family,,POU class 4 homeobox 1,Homo Sapiens,293FT,5457,POU4F1,,NM_006237,,,,,,,,,,,,,"[[[0.440, 0.189, 0.198, 0.173], [0.038, 0.058, 0.031, 0.873], [0.172, 0.063, 0.640, 0.125], [0.492, 0.476, 0.010, 0.022], [0.931, 0.015, 0.010, 0.044], [0.025, 0.010, 0.010, 0.955], [0.643, 0.023, 0.033, 0.301], [0.763, 0.032, 0.038, 0.167], [0.119, 0.027, 0.033, 0.821], [0.099, 0.018, 0.066, 0.817], [0.533, 0.126, 0.131, 0.210], [0.963, 0.011, 0.016, 0.010], [0.070, 0.091, 0.056, 0.783], [0.156, 0.097, 0.513, 0.234]]]",POU4F1
MS00458|En2,0.7779951871394024,,SELEX,,9,,23332764,Homeodomain Family,,engrailed 2,Mus Musculus,293FT,13799,En2,,NM_010134,,,,,,,,,,,,,"[[[0.200, 0.297, 0.339, 0.164], [0.097, 0.459, 0.347, 0.097], [0.010, 0.200, 0.010, 0.780], [0.770, 0.175, 0.045, 0.010], [0.951, 0.010, 0.029, 0.010], [0.012, 0.010, 0.010, 0.968], [0.010, 0.042, 0.092, 0.856], [0.970, 0.010, 0.010, 0.010], [0.236, 0.196, 0.447, 0.121], [0.085, 0.372, 0.270, 0.273]]]",En2
MS00516|Hoxa2,0.7831443474078794,,SELEX,,9,,23332764,Homeodomain Family,,homeobox A2,Mus Musculus,293FT,15399,Hoxa2,,NM_010451,,,,,,,,,,,,,"[[[0.316, 0.231, 0.256, 0.197], [0.183, 0.376, 0.288, 0.153], [0.063, 0.219, 0.034, 0.684], [0.615, 0.283, 0.074, 0.028], [0.938, 0.017, 0.035, 0.010], [0.010, 0.016, 0.010, 0.964], [0.030, 0.080, 0.010, 0.880], [0.961, 0.010, 0.010, 0.019], [0.265, 0.280, 0.293, 0.162], [0.221, 0.375, 0.175, 0.229]]]",Hoxa2
UP00012|Bbx,0.7889303089687278,,UniPROBE,,9,,19443739,High Mobility Group (Box) Family,,bobby sox homolog (Drosophila),Mus Musculus,,70508,Bbx,5530401J07Rik 5730403O13Rik,NM_027444,96.0,,,,,,,,,,,,"[[[0.244, 0.195, 0.123, 0.438], [0.607, 0.160, 0.056, 0.177], [0.460, 0.141, 0.215, 0.184], [0.134, 0.034, 0.053, 0.779], [0.091, 0.020, 0.021, 0.868], [0.136, 0.754, 0.063, 0.047], [0.917, 0.031, 0.015, 0.037], [0.452, 0.085, 0.122, 0.341], [0.036, 0.015, 0.031, 0.918], [0.048, 0.063, 0.754, 0.135], [0.868, 0.021, 0.020, 0.091], [0.779, 0.053, 0.034, 0.134], [0.124, 0.284, 0.353, 0.239], [0.291, 0.127, 0.121, 0.461], [0.331, 0.063, 0.349, 0.257]]]",Bbx
MS00794|Sox10,0.7930670000387914,,SELEX,,9,,23332764,High Mobility Group (Box) Family,,SRY-box containing gene 10,Mus Musculus,293T,20665,Sox10,,XM_128139|XM_985075|NM_011437,,,,,,,,,,,,,"[[[0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.010, 0.970], [0.210, 0.040, 0.398, 0.352], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.032, 0.010, 0.010, 0.948]]]",Sox10
MS00366|FOXJ2,0.7975569719597696,,SELEX,,9,,23332764,Forkhead Domain Family,,forkhead box J2,Homo Sapiens,293T,55810,FOXJ2,,NM_018416,,,,,,,,,,,,,"[[[0.205, 0.017, 0.768, 0.010], [0.046, 0.056, 0.010, 0.888], [0.878, 0.049, 0.010, 0.063], [0.914, 0.020, 0.012, 0.054], [0.970, 0.010, 0.010, 0.010], [0.014, 0.817, 0.010, 0.159], [0.948, 0.010, 0.032, 0.010], [0.342, 0.019, 0.011, 0.628], [0.573, 0.285, 0.010, 0.132], [0.804, 0.066, 0.018, 0.112], [0.923, 0.031, 0.034, 0.012], [0.119, 0.767, 0.016, 0.098], [0.922, 0.022, 0.033, 0.023]]]",FOXJ2
MS00597|PROP1,0.8003748117468279,,SELEX,,9,,23332764,Homeodomain Family,,PROP paired-like homeobox 1,Homo Sapiens,293FT,5626,PROP1,,NM_006261,,,,,,,,,,,,,"[[[0.095, 0.018, 0.015, 0.872], [0.961, 0.010, 0.010, 0.019], [0.970, 0.010, 0.010, 0.010], [0.061, 0.058, 0.027, 0.854], [0.045, 0.335, 0.032, 0.588], [0.318, 0.099, 0.135, 0.448], [0.880, 0.059, 0.010, 0.051], [0.907, 0.010, 0.073, 0.010], [0.010, 0.010, 0.010, 0.970], [0.021, 0.029, 0.010, 0.940], [0.892, 0.010, 0.024, 0.074]]]",PROP1
MS00318|Hlf,0.8020561183040058,,SELEX,,9,,23332764,Leucine Zipper Family,,hepatic leukemia factor,Mus Musculus,293T,217082,Hlf,,NM_172563,,,,,,,,,,,,,"[[[0.127, 0.236, 0.320, 0.317], [0.511, 0.060, 0.412, 0.017], [0.012, 0.010, 0.028, 0.950], [0.016, 0.010, 0.010, 0.964], [0.970, 0.010, 0.010, 0.010], [0.010, 0.926, 0.010, 0.054], [0.123, 0.010, 0.857, 0.010], [0.010, 0.020, 0.010, 0.960], [0.900, 0.010, 0.010, 0.080], [0.970, 0.010, 0.010, 0.010], [0.010, 0.555, 0.020, 0.415], [0.386, 0.389, 0.105, 0.120]]]",Hlf
MS00627|VSX2,0.8155191908978406,,SELEX,,9,,23332764,Homeodomain Family,,visual system homeobox 2,Homo Sapiens,293FT,338917,VSX2,,NM_182894,,,,,,,,,,,,,"[[[0.029, 0.651, 0.030, 0.290], [0.060, 0.152, 0.020, 0.768], [0.923, 0.027, 0.023, 0.027], [0.970, 0.010, 0.010, 0.010], [0.010, 0.013, 0.010, 0.967], [0.041, 0.037, 0.029, 0.893], [0.800, 0.019, 0.122, 0.059], [0.209, 0.235, 0.311, 0.245]]]",VSX2
MC00118|GATA2,0.8159532310240805,,Cistrome,,16,,22036566,GATA Domain Family,,GATA binding protein 2,Homo Sapiens,K562,2624,GATA2,,NM_001145661|NM_001145662|NM_032638,,,,,,,5707(7/7),-45.6296,(1) denovo|(2) denovo|(3) GATA2|(4) denovo|(5) SIRT6|(6) denovo|(7) GATA-1|(8) DAL80|(9) GATA-1|(10) GATA-1|(11) QRSL1|(12) Gat1|(13) denovo|(14) LMO2|(15) GATA-3|(16) GATA-1|(17) GATA-X|(18) Gzf3|(19) denovo|(20) GATA-1|(21) GATA-2|(22) NIT2|(23) TAL1|(24) GATA-3|(25) Evi-1|(26) Gln3|(27) GATA-6|(30) RUNX1,(1)|(2)|(3) GATA Domain Family|(4)|(5)|(6)|(7)|(8)|(9)|(10)|(11)|(12)|(13)|(14)|(15)|(16)|(17)|(18)|(19)|(20)|(21)|(22)|(23) Helix-Loop-Helix Family|(24)|(25)|(26)|(27)|(30) Runt Domain Family,,28.0,"[[[0.173, 0.232, 0.157, 0.437], [0.018, 0.355, 0.209, 0.418], [0.022, 0.648, 0.151, 0.178], [0.000, 0.008, 0.002, 0.990], [0.008, 0.001, 0.000, 0.991], [0.992, 0.003, 0.004, 0.001], [0.002, 0.005, 0.001, 0.992], [0.001, 0.996, 0.001, 0.002], [0.257, 0.003, 0.040, 0.700], [0.025, 0.394, 0.329, 0.252]]]",GATA2
MC00520|MEIS1,0.8185216416453326,,Cistrome,,16,,21241896,Homeodomain Family,,Meis homeobox 1,Homo Sapiens,CD133+,4211,MEIS1,,NM_002398,,,,,,,2035(1/1),-37.6793,(1) denovo|(2) denovo|(3) denovo|(4) denovo|(5) denovo|(6) denovo|(7) denovo|(9) Pbx-1b|(10) PBX1|(11) CdxA|(18) GFI1B,(1)|(2)|(3)|(4)|(5)|(6)|(7)|(9)|(10) Homeodomain Family|(11)|(18) BetaBetaAlpha-zinc finger Family,,11.0,"[[[0.168, 0.009, 0.015, 0.808], [0.077, 0.015, 0.833, 0.075], [0.957, 0.010, 0.016, 0.017], [0.021, 0.011, 0.036, 0.931], [0.029, 0.016, 0.022, 0.933], [0.130, 0.021, 0.112, 0.737], [0.942, 0.018, 0.022, 0.019], [0.017, 0.071, 0.027, 0.885], [0.124, 0.069, 0.486, 0.321], [0.327, 0.045, 0.365, 0.263]]]",MEIS1
UP00151|BARX2,0.8264326089264558,,UniPROBE,,9,,18585359,Homeodomain Family,,BARX homeobox 2,Homo Sapiens,,8538,BARX2,MGC133368 MGC133369,NM_003658,86.0,,,,,,,,,,,,"[[[0.192, 0.148, 0.146, 0.514], [0.515, 0.165, 0.119, 0.201], [0.633, 0.112, 0.231, 0.024], [0.105, 0.199, 0.386, 0.310], [0.010, 0.269, 0.010, 0.711], [0.950, 0.030, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.011, 0.010, 0.010, 0.969], [0.010, 0.010, 0.030, 0.950], [0.711, 0.010, 0.269, 0.010], [0.270, 0.231, 0.348, 0.151], [0.025, 0.231, 0.112, 0.632], [0.099, 0.103, 0.381, 0.417], [0.344, 0.101, 0.321, 0.234], [0.179, 0.197, 0.105, 0.519], [0.383, 0.112, 0.330, 0.175]]]",BARX2
MS00577|NKX6-2,0.8325568262673402,,SELEX,,9,,23332764,Homeodomain Family,,NK6 homeobox 2,Homo Sapiens,293FT,84504,NKX6-2,,NM_177400,,,,,,,,,,,,,"[[[0.199, 0.320, 0.276, 0.205], [0.056, 0.374, 0.039, 0.531], [0.503, 0.336, 0.047, 0.114], [0.947, 0.016, 0.010, 0.027], [0.030, 0.010, 0.010, 0.950], [0.102, 0.092, 0.023, 0.783], [0.912, 0.018, 0.037, 0.033], [0.526, 0.183, 0.088, 0.203]]]",NKX6-2
UP00004|Sox14,0.8337040049491882,,UniPROBE,,9,,19443739,High Mobility Group (Box) Family,,SRY-box containing gene 14,Mus Musculus,,20669,Sox14,-,XM_284529|XM_907434|NM_011440,106.0,,,,,,,,,,,,"[[[0.193, 0.140, 0.365, 0.302], [0.270, 0.306, 0.121, 0.303], [0.216, 0.217, 0.190, 0.377], [0.581, 0.105, 0.089, 0.225], [0.905, 0.034, 0.011, 0.050], [0.093, 0.016, 0.031, 0.860], [0.192, 0.018, 0.018, 0.772], [0.789, 0.011, 0.183, 0.017], [0.016, 0.183, 0.011, 0.790], [0.772, 0.018, 0.018, 0.192], [0.861, 0.031, 0.016, 0.092], [0.050, 0.011, 0.034, 0.905], [0.368, 0.105, 0.127, 0.400], [0.439, 0.114, 0.154, 0.293], [0.258, 0.078, 0.324, 0.340], [0.273, 0.290, 0.208, 0.229]]]",Sox14
MS00277|OLIG2,0.8337803951525266,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,oligodendrocyte lineage transcription factor 2,Homo Sapiens,FT293,10215,OLIG2,,NM_005806,,,,,,,,,,,,,"[[[0.771, 0.068, 0.110, 0.051], [0.438, 0.469, 0.083, 0.010], [0.101, 0.879, 0.010, 0.010], [0.934, 0.010, 0.040, 0.016], [0.010, 0.010, 0.017, 0.963], [0.959, 0.021, 0.010, 0.010], [0.017, 0.072, 0.010, 0.901], [0.010, 0.010, 0.863, 0.117], [0.010, 0.197, 0.329, 0.464], [0.066, 0.236, 0.047, 0.651]]]",OLIG2
