,pval,edition,source,sourcefile,status,numseqs,pmid,dbd,family,description,species,cellline,entrez,symbol,synonym,refseq,cluster,comment2,comment2.1,comment3,comment4,comment5,datasetid,zscore,seqfactors,seqdbds,seqdatasetid,nmotifs,pssm
MA0164|NR2E3,0.4256462912475835,,JASPAR,,6,,15634773,Hormone-nuclear Receptor Family,,"nuclear receptor subfamily 2, group E, member 3",Homo Sapiens,,10002,NR2E3,ESCS MGC49976 PNR RNR RP37 rd7,NM_014249|NM_016346,35.0,,,,,,,,,,,,"[[[0.174, 0.522, 0.087, 0.217], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.043, 0.937, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.010, 0.970]]]"
MS00161|RFX2,0.4270962329363551,,SELEX,,9,,23332764,RFX Domain Family,,"regulatory factor X, 2 (influences HLA class II expression)",Homo Sapiens,293FT,5990,RFX2,,NM_000635|NM_134433,,,,,,,,,,,,,"[[[0.103, 0.422, 0.301, 0.174], [0.019, 0.010, 0.961, 0.010], [0.010, 0.010, 0.010, 0.970], [0.129, 0.058, 0.010, 0.803], [0.295, 0.018, 0.599, 0.088], [0.010, 0.881, 0.010, 0.099], [0.010, 0.765, 0.010, 0.215], [0.962, 0.010, 0.010, 0.018], [0.016, 0.010, 0.010, 0.964], [0.205, 0.010, 0.775, 0.010], [0.132, 0.010, 0.848, 0.010], [0.095, 0.580, 0.025, 0.300], [0.802, 0.010, 0.084, 0.104], [0.970, 0.010, 0.010, 0.010], [0.010, 0.959, 0.010, 0.021], [0.186, 0.282, 0.421, 0.111]]]"
MS00535|LBX2,0.42796667226251395,,SELEX,,9,,23332764,Homeodomain Family,,ladybird homeobox 2,Homo Sapiens,293FT,85474,LBX2,,NM_001009812,,,,,,,,,,,,,"[[[0.270, 0.247, 0.277, 0.206], [0.122, 0.480, 0.159, 0.239], [0.048, 0.501, 0.033, 0.418], [0.807, 0.091, 0.087, 0.015], [0.855, 0.083, 0.037, 0.025], [0.010, 0.010, 0.038, 0.942], [0.041, 0.070, 0.079, 0.810], [0.913, 0.010, 0.032, 0.045], [0.330, 0.145, 0.379, 0.146], [0.241, 0.326, 0.246, 0.187]]]"
MC00398|FLI1,0.4334874266817425,,Cistrome,,16,,22086061,Ets Domain Family,,Friend leukemia virus integration 1,Homo Sapiens,EWS502,2313,FLI1,,NM_001167681|NM_002017,,,,,,,4812(1/5),-51.1352,(1) EWSR1-FLI1,(1),,1.0,"[[[0.012, 0.011, 0.966, 0.011], [0.008, 0.006, 0.982, 0.004], [0.959, 0.023, 0.013, 0.005], [0.969, 0.007, 0.014, 0.010], [0.004, 0.004, 0.983, 0.009], [0.013, 0.016, 0.966, 0.005], [0.960, 0.011, 0.022, 0.007], [0.968, 0.006, 0.022, 0.004], [0.008, 0.006, 0.982, 0.004], [0.006, 0.010, 0.976, 0.008], [0.941, 0.031, 0.024, 0.004], [0.966, 0.013, 0.011, 0.010], [0.011, 0.008, 0.976, 0.005], [0.014, 0.011, 0.972, 0.003], [0.958, 0.027, 0.010, 0.005], [0.968, 0.011, 0.013, 0.008], [0.020, 0.006, 0.968, 0.006], [0.014, 0.014, 0.964, 0.008]]]"
MS00192|TBX15,0.43698098860527007,,SELEX,,9,,23332764,Transcription Factor T-Domain,,T-box 15,Homo Sapiens,293FT,6913,TBX15,,NM_152380,,,,,,,,,,,,,"[[[0.897, 0.010, 0.045, 0.048], [0.011, 0.024, 0.931, 0.034], [0.010, 0.010, 0.970, 0.010], [0.010, 0.029, 0.015, 0.946], [0.010, 0.010, 0.970, 0.010], [0.049, 0.033, 0.010, 0.908], [0.010, 0.043, 0.824, 0.123], [0.970, 0.010, 0.010, 0.010], [0.838, 0.018, 0.010, 0.134], [0.732, 0.010, 0.142, 0.116], [0.033, 0.010, 0.044, 0.913], [0.010, 0.010, 0.010, 0.970], [0.050, 0.863, 0.049, 0.038], [0.950, 0.010, 0.030, 0.010], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.024, 0.038, 0.010, 0.928]]]"
UP00069|Sox1,0.4375637346407575,,UniPROBE,,9,,19443739,High Mobility Group (Box) Family,,SRY-box containing gene 1,Mus Musculus,,20664,Sox1,BB176347 Sox-1,NM_009233,359.0,,,,,,,,,,,,"[[[0.341, 0.228, 0.092, 0.339], [0.380, 0.157, 0.177, 0.286], [0.208, 0.176, 0.234, 0.382], [0.139, 0.459, 0.109, 0.293], [0.667, 0.099, 0.030, 0.204], [0.897, 0.031, 0.015, 0.057], [0.060, 0.026, 0.020, 0.894], [0.130, 0.021, 0.028, 0.821], [0.056, 0.674, 0.240, 0.030], [0.904, 0.028, 0.019, 0.049], [0.588, 0.068, 0.050, 0.294], [0.158, 0.071, 0.046, 0.725], [0.497, 0.117, 0.150, 0.236], [0.358, 0.266, 0.169, 0.207], [0.299, 0.111, 0.285, 0.305], [0.135, 0.162, 0.319, 0.384]]]"
MS00502|HOXC12,0.4393127805543222,,SELEX,,9,,23332764,Homeodomain Family,,homeobox C12,Homo Sapiens,293FT,3228,HOXC12,,NM_173860,,,,,,,,,,,,,"[[[0.181, 0.117, 0.665, 0.037], [0.010, 0.386, 0.010, 0.594], [0.745, 0.120, 0.110, 0.025], [0.893, 0.012, 0.080, 0.015], [0.116, 0.010, 0.010, 0.864], [0.844, 0.011, 0.010, 0.135], [0.957, 0.010, 0.010, 0.023], [0.965, 0.011, 0.010, 0.014], [0.778, 0.086, 0.056, 0.080]]]"
MS00276|OLIG1,0.4401877501998574,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,oligodendrocyte transcription factor 1,Homo Sapiens,293FT,116448,OLIG1,,NM_138983,,,,,,,,,,,,,"[[[0.853, 0.018, 0.114, 0.015], [0.510, 0.364, 0.116, 0.010], [0.010, 0.970, 0.010, 0.010], [0.968, 0.010, 0.012, 0.010], [0.010, 0.010, 0.010, 0.970], [0.970, 0.010, 0.010, 0.010], [0.017, 0.015, 0.010, 0.958], [0.010, 0.010, 0.970, 0.010], [0.010, 0.183, 0.401, 0.406], [0.033, 0.188, 0.017, 0.762]]]"
MA0125|Nobox,0.4422304750289366,,JASPAR,,6,,16997917,Homeodomain Family,,NOBOX oogenesis homeobox,Mus Musculus,,18291,Nobox,OG2 Og2x,NM_130869,12.0,,,,,,,,,,,,"[[[0.010, 0.026, 0.010, 0.954], [0.947, 0.010, 0.010, 0.033], [0.970, 0.010, 0.010, 0.010], [0.026, 0.026, 0.053, 0.895], [0.053, 0.010, 0.105, 0.832], [0.395, 0.010, 0.579, 0.016], [0.105, 0.316, 0.474, 0.105], [0.053, 0.342, 0.158, 0.447]]]"
MS00601|CUX1,0.44339843998254835,,SELEX,,9,,23332764,Homeodomain Family,,cut-like homeobox 1,Homo Sapiens,239FT,1523,CUX1,,NM_001913|NM_181500|NM_181552,,,,,,,,,,,,,"[[[0.910, 0.011, 0.032, 0.047], [0.017, 0.028, 0.013, 0.942], [0.022, 0.910, 0.015, 0.053], [0.314, 0.014, 0.660, 0.012], [0.962, 0.010, 0.011, 0.017], [0.076, 0.027, 0.010, 0.887], [0.420, 0.255, 0.118, 0.207], [0.385, 0.282, 0.182, 0.151], [0.228, 0.329, 0.263, 0.180], [0.184, 0.178, 0.195, 0.443], [0.349, 0.076, 0.369, 0.206], [0.918, 0.011, 0.032, 0.039], [0.013, 0.018, 0.010, 0.959], [0.018, 0.951, 0.012, 0.019], [0.408, 0.016, 0.566, 0.010], [0.952, 0.010, 0.013, 0.025], [0.069, 0.020, 0.010, 0.901]]]"
M01326|GSX2,0.4454435563663845,,Transfac,,4,,18585359,Homeodomain Family,,GS homeobox 2,Homo Sapiens,,170825,GSX2,GSH2,NM_133267,148.0,,,,,,,,,,,,"[[[0.470, 0.180, 0.230, 0.120], [0.180, 0.320, 0.330, 0.170], [0.250, 0.090, 0.550, 0.110], [0.130, 0.260, 0.240, 0.370], [0.010, 0.100, 0.010, 0.880], [0.950, 0.030, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.020, 0.010, 0.010, 0.960], [0.010, 0.010, 0.030, 0.950], [0.880, 0.010, 0.100, 0.010], [0.202, 0.131, 0.556, 0.111], [0.110, 0.550, 0.090, 0.250], [0.168, 0.277, 0.228, 0.327], [0.180, 0.300, 0.330, 0.190], [0.750, 0.040, 0.120, 0.090], [0.182, 0.121, 0.323, 0.374]]]"
MA0319|HSF1,0.4495380938089984,,JASPAR,,6,,19111667,Transcription Factor Family,,heat shock transcription factor 1,Homo Sapiens,,3297,HSF1,HSTF1,NM_005526,393.0,,,,,,,,,,,,"[[[0.683, 0.129, 0.129, 0.059], [0.020, 0.020, 0.020, 0.940], [0.190, 0.010, 0.790, 0.010], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.060, 0.560, 0.190, 0.190], [0.485, 0.111, 0.232, 0.172]]]"
M00515|PPARG::RXRA,0.45305199577412103,,Transfac,,4,,11139380,Hormone-nuclear Receptor Family,,"peroxisome proliferator-activated receptor gamma|retinoid X receptor, alpha",Homo Sapiens,,5468|6256,PPARG::RXRA,,NM_005037|NM_015869|NM_138711|NM_138712|NM_002957,197.0,,,,,,,,,,,,"[[[0.783, 0.130, 0.010, 0.077], [0.778, 0.010, 0.010, 0.202], [0.111, 0.259, 0.556, 0.074], [0.036, 0.036, 0.010, 0.918], [0.730, 0.010, 0.250, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.036, 0.944, 0.010], [0.010, 0.010, 0.107, 0.873], [0.036, 0.811, 0.143, 0.010], [0.970, 0.010, 0.010, 0.010], [0.143, 0.607, 0.107, 0.143], [0.214, 0.250, 0.321, 0.215], [0.107, 0.107, 0.679, 0.107], [0.010, 0.010, 0.010, 0.970], [0.071, 0.179, 0.714, 0.036], [0.847, 0.107, 0.036, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.010, 0.393, 0.010, 0.587], [0.893, 0.036, 0.010, 0.061], [0.148, 0.556, 0.222, 0.074], [0.259, 0.010, 0.037, 0.694], [0.083, 0.010, 0.010, 0.897]]]"
MS00152|POU5F1P1,0.45393105695004904,,SELEX,,9,,23332764,Homeodomain Family,,,Homo Sapiens,293FT,,POU5F1P1,,,,,,,,,,,,,,,"[[[0.099, 0.132, 0.060, 0.709], [0.970, 0.010, 0.010, 0.010], [0.017, 0.035, 0.020, 0.928], [0.027, 0.010, 0.810, 0.153], [0.026, 0.633, 0.086, 0.255], [0.646, 0.010, 0.010, 0.334], [0.834, 0.013, 0.075, 0.078], [0.959, 0.010, 0.010, 0.021], [0.126, 0.043, 0.061, 0.770]]]"
MS00427|DLX1,0.4568628672420264,,SELEX,,9,,23332764,Homeodomain Family,,distal-less homeobox 1,Homo Sapiens,293FT,1745,DLX1,,NM_001038493|NM_178120,,,,,,,,,,,,,"[[[0.256, 0.342, 0.219, 0.183], [0.312, 0.338, 0.192, 0.158], [0.214, 0.257, 0.014, 0.515], [0.836, 0.087, 0.042, 0.035], [0.918, 0.012, 0.010, 0.060], [0.107, 0.010, 0.010, 0.873], [0.017, 0.039, 0.055, 0.889], [0.795, 0.010, 0.010, 0.185], [0.214, 0.229, 0.251, 0.306], [0.195, 0.377, 0.229, 0.199]]]"
MS00682|RARG,0.4589165420766046,,SELEX,,9,,23332764,Hormone-nuclear Receptor Family,,"retinoic acid receptor, gamma",Homo Sapiens,FT293,5916,RARG,,NM_000966|NM_001042728,,,,,,,,,,,,,"[[[0.076, 0.036, 0.858, 0.030], [0.861, 0.010, 0.119, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.012, 0.968], [0.010, 0.963, 0.010, 0.017], [0.970, 0.010, 0.010, 0.010], [0.923, 0.010, 0.019, 0.048], [0.970, 0.010, 0.010, 0.010], [0.942, 0.010, 0.038, 0.010], [0.010, 0.010, 0.970, 0.010], [0.010, 0.010, 0.814, 0.166], [0.010, 0.021, 0.010, 0.959], [0.010, 0.960, 0.010, 0.020], [0.967, 0.010, 0.013, 0.010], [0.033, 0.649, 0.120, 0.198]]]"
MS00269|MYF6,0.4595035101949361,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,myogenic factor 6 (herculin),Homo Sapiens,293FT,4618,MYF6,,NM_002469,,,,,,,,,,,,,"[[[0.833, 0.023, 0.131, 0.013], [0.904, 0.037, 0.049, 0.010], [0.010, 0.970, 0.010, 0.010], [0.965, 0.010, 0.015, 0.010], [0.348, 0.066, 0.560, 0.026], [0.026, 0.774, 0.077, 0.123], [0.024, 0.010, 0.010, 0.956], [0.010, 0.010, 0.970, 0.010], [0.010, 0.047, 0.010, 0.933], [0.010, 0.261, 0.011, 0.718]]]"
UP00075|Sox15,0.4595035101949361,,UniPROBE,,9,,19443739,High Mobility Group (Box) Family,,SRY-box containing gene 15,Mus Musculus,,20670,Sox15,-,NM_009235,13.0,,,,,,,,,,,,"[[[0.287, 0.139, 0.124, 0.450], [0.279, 0.214, 0.278, 0.229], [0.197, 0.172, 0.340, 0.291], [0.344, 0.089, 0.198, 0.369], [0.218, 0.069, 0.485, 0.228], [0.796, 0.049, 0.087, 0.068], [0.933, 0.010, 0.010, 0.047], [0.019, 0.893, 0.013, 0.075], [0.960, 0.010, 0.010, 0.020], [0.967, 0.010, 0.010, 0.013], [0.086, 0.017, 0.010, 0.887], [0.476, 0.013, 0.098, 0.413], [0.305, 0.098, 0.464, 0.133], [0.458, 0.119, 0.308, 0.115], [0.205, 0.241, 0.225, 0.329], [0.328, 0.179, 0.116, 0.377], [0.188, 0.185, 0.192, 0.435]]]"
MS00750|SOX15,0.4621459408916953,,SELEX,,9,,23332764,High Mobility Group (Box) Family,,SRY (sex determining region Y)-box 15,Homo Sapiens,293FT,6665,SOX15,,NM_006942,,,,,,,,,,,,,"[[[0.730, 0.235, 0.010, 0.025], [0.010, 0.033, 0.010, 0.947], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.947, 0.033, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.926, 0.010, 0.010, 0.054], [0.662, 0.282, 0.010, 0.046], [0.010, 0.970, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.970, 0.010], [0.970, 0.010, 0.010, 0.010], [0.050, 0.079, 0.010, 0.861]]]"
UP00138|Bsx,0.4659657063504827,,UniPROBE,,9,,18585359,Homeodomain Family,,brain specific homeobox,Mus Musculus,,244813,Bsx,Bsx1a Bsx1b MGC129478 MGC129479,NM_178245,148.0,,,,,,,,,,,,"[[[0.301, 0.362, 0.278, 0.059], [0.416, 0.270, 0.249, 0.065], [0.276, 0.071, 0.495, 0.158], [0.205, 0.128, 0.449, 0.218], [0.010, 0.455, 0.010, 0.525], [0.916, 0.052, 0.022, 0.010], [0.969, 0.011, 0.010, 0.010], [0.010, 0.010, 0.011, 0.969], [0.010, 0.022, 0.052, 0.916], [0.525, 0.010, 0.455, 0.010], [0.199, 0.321, 0.277, 0.203], [0.157, 0.495, 0.071, 0.277], [0.139, 0.188, 0.180, 0.493], [0.212, 0.369, 0.311, 0.108], [0.746, 0.052, 0.128, 0.074], [0.288, 0.125, 0.315, 0.272]]]"
UP00211|Pou3f3,0.47008279913391304,,UniPROBE,,9,,18585359,Homeodomain Family,,"POU domain, class 3, transcription factor 3",Mus Musculus,,18993,Pou3f3,Brn-1 Brn1 Otf8 Skin1,NM_008900,299.0,,,,,,,,,,,,"[[[0.402, 0.183, 0.130, 0.285], [0.637, 0.097, 0.089, 0.177], [0.307, 0.160, 0.305, 0.228], [0.342, 0.103, 0.265, 0.290], [0.092, 0.101, 0.034, 0.773], [0.799, 0.079, 0.027, 0.095], [0.010, 0.053, 0.010, 0.927], [0.017, 0.010, 0.948, 0.025], [0.087, 0.893, 0.010, 0.010], [0.969, 0.010, 0.011, 0.010], [0.031, 0.010, 0.011, 0.948], [0.894, 0.010, 0.013, 0.083], [0.666, 0.064, 0.010, 0.260], [0.170, 0.095, 0.231, 0.504], [0.343, 0.133, 0.270, 0.254], [0.371, 0.117, 0.242, 0.270], [0.598, 0.066, 0.098, 0.238]]]"
MS00130|POU1F1,0.4715539879136434,,SELEX,,9,,23332764,Homeodomain Family,,POU class 1 homeobox 1,Homo Sapiens,239FT,5449,POU1F1,,NM_000306|NM_001122757,,,,,,,,,,,,,"[[[0.569, 0.116, 0.128, 0.187], [0.463, 0.050, 0.077, 0.410], [0.106, 0.032, 0.042, 0.820], [0.965, 0.010, 0.015, 0.010], [0.020, 0.033, 0.011, 0.936], [0.012, 0.010, 0.903, 0.075], [0.033, 0.728, 0.056, 0.183], [0.579, 0.010, 0.010, 0.401], [0.917, 0.010, 0.036, 0.037], [0.970, 0.010, 0.010, 0.010], [0.033, 0.016, 0.018, 0.933], [0.086, 0.093, 0.324, 0.497], [0.768, 0.063, 0.070, 0.099], [0.189, 0.123, 0.547, 0.141]]]"
M01147|DMRT2,0.47302556495776643,,Transfac,,4,,17605809,DMRT Domain Family,,doublesex and mab-3 related transcription factor 2,Homo Sapiens,,10655,DMRT2,-,NM_001130865|NM_006557|NM_181872,224.0,,,,,,,,,,,,"[[[0.056, 0.389, 0.278, 0.277], [0.778, 0.010, 0.167, 0.045], [0.500, 0.010, 0.167, 0.323], [0.667, 0.010, 0.010, 0.313], [0.222, 0.010, 0.111, 0.657], [0.056, 0.010, 0.111, 0.823], [0.056, 0.010, 0.924, 0.010], [0.556, 0.167, 0.010, 0.267], [0.056, 0.010, 0.010, 0.924], [0.924, 0.056, 0.010, 0.010], [0.010, 0.970, 0.010, 0.010], [0.944, 0.010, 0.010, 0.036], [0.278, 0.010, 0.010, 0.702], [0.010, 0.010, 0.010, 0.970], [0.010, 0.111, 0.611, 0.268], [0.333, 0.010, 0.010, 0.647]]]"
MS00492|HOXB3,0.47596980373336906,,SELEX,,9,,23332764,Homeodomain Family,,homeobox B3,Homo Sapiens,293FT,3213,HOXB3,,NM_002146,,,,,,,,,,,,,"[[[0.349, 0.196, 0.244, 0.211], [0.198, 0.321, 0.311, 0.170], [0.114, 0.327, 0.040, 0.519], [0.540, 0.354, 0.058, 0.048], [0.900, 0.038, 0.045, 0.017], [0.010, 0.011, 0.010, 0.969], [0.031, 0.059, 0.010, 0.900], [0.938, 0.010, 0.010, 0.042], [0.352, 0.164, 0.367, 0.117], [0.248, 0.310, 0.231, 0.211]]]"
MS00548|Lhx8,0.4768533386240489,,SELEX,,9,,23332764,Homeodomain Family,,LIM homeobox protein 8,Mus Musculus,293FT,16875,Lhx8,,NM_010713,,,,,,,,,,,,,"[[[0.138, 0.423, 0.177, 0.262], [0.064, 0.291, 0.022, 0.623], [0.649, 0.058, 0.277, 0.016], [0.956, 0.017, 0.017, 0.010], [0.018, 0.021, 0.015, 0.946], [0.021, 0.317, 0.089, 0.573], [0.717, 0.022, 0.213, 0.048], [0.325, 0.219, 0.363, 0.093], [0.159, 0.421, 0.214, 0.206], [0.277, 0.266, 0.325, 0.132], [0.124, 0.475, 0.171, 0.230], [0.059, 0.271, 0.026, 0.644], [0.623, 0.058, 0.292, 0.027], [0.967, 0.010, 0.013, 0.010], [0.012, 0.027, 0.018, 0.943], [0.019, 0.339, 0.076, 0.566], [0.693, 0.019, 0.245, 0.043], [0.329, 0.251, 0.320, 0.100]]]"
UP00254|POU2F1,0.48068324918022926,,UniPROBE,,9,,18585359,Homeodomain Family,,POU class 2 homeobox 1,Homo Sapiens,,5451,POU2F1,OCT1 OTF1,NM_002697,86.0,,,,,,,,,,,,"[[[0.308, 0.140, 0.281, 0.271], [0.169, 0.207, 0.129, 0.495], [0.308, 0.119, 0.313, 0.260], [0.304, 0.243, 0.085, 0.368], [0.451, 0.096, 0.311, 0.142], [0.321, 0.240, 0.019, 0.420], [0.039, 0.010, 0.010, 0.941], [0.886, 0.094, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.011, 0.010, 0.010, 0.969], [0.018, 0.021, 0.103, 0.858], [0.928, 0.010, 0.010, 0.052], [0.490, 0.047, 0.316, 0.147], [0.107, 0.169, 0.438, 0.286], [0.209, 0.175, 0.073, 0.543], [0.511, 0.053, 0.118, 0.318]]]"
MS00280|OLIG3,0.4848097531460611,,SELEX,,9,,23332764,Helix-Loop-Helix Family,,oligodendrocyte transcription factor 3,Homo Sapiens,293FT,167826,OLIG3,,NM_175747,,,,,,,,,,,,,"[[[0.716, 0.076, 0.159, 0.049], [0.376, 0.516, 0.098, 0.010], [0.104, 0.876, 0.010, 0.010], [0.931, 0.010, 0.048, 0.011], [0.010, 0.013, 0.036, 0.941], [0.929, 0.051, 0.010, 0.010], [0.025, 0.102, 0.010, 0.863], [0.010, 0.010, 0.855, 0.125], [0.011, 0.254, 0.347, 0.388], [0.080, 0.290, 0.053, 0.577]]]"
MS00153|POU5F1P1,0.4877582781336979,,SELEX,,9,,23332764,Homeodomain Family,,,Homo Sapiens,293FT,,POU5F1P1,,,,,,,,,,,,,,,"[[[0.578, 0.081, 0.056, 0.285], [0.157, 0.043, 0.028, 0.772], [0.202, 0.030, 0.719, 0.049], [0.596, 0.369, 0.014, 0.021], [0.879, 0.019, 0.026, 0.076], [0.076, 0.013, 0.010, 0.901], [0.933, 0.010, 0.010, 0.047], [0.115, 0.025, 0.018, 0.842], [0.030, 0.012, 0.558, 0.400], [0.058, 0.738, 0.030, 0.174], [0.858, 0.020, 0.029, 0.093], [0.464, 0.056, 0.077, 0.403]]]"
UP00214|HOXB5,0.48805317010117155,,UniPROBE,,9,,18585359,Homeodomain Family,,homeobox B5,Homo Sapiens,,3215,HOXB5,HHO.C10 HOX2 HOX2A HU-1 Hox2.1,NM_002147,148.0,,,,,,,,,,,,"[[[0.520, 0.226, 0.140, 0.114], [0.271, 0.348, 0.193, 0.188], [0.170, 0.086, 0.648, 0.096], [0.125, 0.148, 0.377, 0.350], [0.010, 0.070, 0.010, 0.910], [0.894, 0.086, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.086, 0.894], [0.910, 0.010, 0.070, 0.010], [0.189, 0.293, 0.410, 0.108], [0.096, 0.648, 0.086, 0.170], [0.285, 0.247, 0.103, 0.365], [0.283, 0.439, 0.110, 0.168], [0.678, 0.045, 0.141, 0.136], [0.223, 0.162, 0.140, 0.475]]]"
MS00438|DUXA,0.4901175877373137,,SELEX,,9,,23332764,Homeodomain Family,,double homeobox A,Homo Sapiens,293FT,503835,DUXA,,NM_001012729,,,,,,,,,,,,,"[[[0.221, 0.309, 0.191, 0.279], [0.146, 0.173, 0.067, 0.614], [0.630, 0.010, 0.348, 0.012], [0.969, 0.010, 0.011, 0.010], [0.107, 0.309, 0.098, 0.486], [0.012, 0.387, 0.190, 0.411], [0.015, 0.230, 0.077, 0.678], [0.891, 0.049, 0.041, 0.019], [0.970, 0.010, 0.010, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.884, 0.010, 0.096], [0.854, 0.024, 0.044, 0.078], [0.359, 0.176, 0.279, 0.186]]]"
MS00505|HOXC13,0.4933621862604942,,SELEX,,9,,23332764,Homeodomain Family,,homeobox C13,Homo Sapiens,293FT,3229,HOXC13,,NM_017410,,,,,,,,,,,,,"[[[0.131, 0.229, 0.394, 0.246], [0.032, 0.916, 0.042, 0.010], [0.010, 0.016, 0.010, 0.964], [0.018, 0.879, 0.010, 0.093], [0.166, 0.010, 0.814, 0.010], [0.010, 0.010, 0.010, 0.970], [0.864, 0.010, 0.010, 0.116], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.729, 0.100, 0.052, 0.119], [0.310, 0.285, 0.117, 0.288]]]"
M01425|HNF1B,0.49454216045302235,,Transfac,,4,,18585359,Homeodomain Family,,HNF1 homeobox B,Homo Sapiens,,6928,HNF1B,FJHN HNF1beta HNF2 HPC11 LF-B3 LFB3 MODY5 TCF2 VHNF1,NM_000458|NM_001165923,198.0,,,,,,,,,,,,"[[[0.313, 0.141, 0.263, 0.283], [0.160, 0.180, 0.370, 0.290], [0.140, 0.400, 0.140, 0.320], [0.172, 0.192, 0.293, 0.343], [0.060, 0.050, 0.840, 0.050], [0.060, 0.030, 0.020, 0.890], [0.010, 0.010, 0.010, 0.970], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.950, 0.010, 0.030], [0.010, 0.150, 0.020, 0.820], [0.900, 0.010, 0.030, 0.060], [0.280, 0.130, 0.560, 0.030], [0.162, 0.364, 0.212, 0.262], [0.220, 0.340, 0.120, 0.320], [0.050, 0.320, 0.380, 0.250], [0.152, 0.162, 0.152, 0.534]]]"
MS00381|FOXO4,0.4963122080559927,,SELEX,,9,,23332764,Forkhead Domain Family,,forkhead box O4,Homo Sapiens,293FT,4303,FOXO4,,NM_001170931|NM_005938,,,,,,,,,,,,,"[[[0.173, 0.010, 0.807, 0.010], [0.113, 0.015, 0.030, 0.842], [0.615, 0.365, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.970, 0.010, 0.010, 0.010], [0.010, 0.943, 0.010, 0.037], [0.941, 0.010, 0.010, 0.039], [0.023, 0.010, 0.010, 0.957], [0.023, 0.010, 0.957, 0.010], [0.010, 0.010, 0.010, 0.970], [0.010, 0.010, 0.013, 0.967], [0.010, 0.010, 0.269, 0.711], [0.922, 0.015, 0.027, 0.036], [0.010, 0.845, 0.010, 0.135]]]"
MS00384|FOXO6,0.49690224177868325,,SELEX,,9,,23332764,Forkhead Domain Family,,forkhead box O6,Homo Sapiens,293FT,100132074,FOXO6,,XM_002342102|XM_002346379,,,,,,,,,,,,,"[[[0.173, 0.010, 0.806, 0.011], [0.042, 0.031, 0.022, 0.905], [0.806, 0.147, 0.010, 0.037], [0.914, 0.047, 0.010, 0.029], [0.951, 0.010, 0.027, 0.012], [0.010, 0.948, 0.010, 0.032], [0.930, 0.010, 0.013, 0.047], [0.010, 0.010, 0.010, 0.970], [0.024, 0.010, 0.956, 0.010], [0.010, 0.010, 0.010, 0.970], [0.011, 0.010, 0.023, 0.956], [0.013, 0.010, 0.228, 0.749], [0.863, 0.010, 0.049, 0.078], [0.010, 0.740, 0.017, 0.233]]]"
MS00586|Otx1,0.5016226470909452,,SELEX,,9,,23332764,Homeodomain Family,,orthodenticle homolog 1 (Drosophila),Mus Musculus,293FT,18423,Otx1,,NM_011023,,,,,,,,,,,,,"[[[0.212, 0.222, 0.290, 0.276], [0.264, 0.245, 0.133, 0.358], [0.063, 0.025, 0.010, 0.902], [0.930, 0.010, 0.032, 0.028], [0.970, 0.010, 0.010, 0.010], [0.014, 0.010, 0.164, 0.812], [0.010, 0.901, 0.079, 0.010], [0.033, 0.934, 0.010, 0.023], [0.010, 0.017, 0.869, 0.104], [0.706, 0.238, 0.015, 0.041], [0.010, 0.010, 0.010, 0.970], [0.049, 0.013, 0.010, 0.928], [0.880, 0.011, 0.032, 0.077], [0.335, 0.155, 0.257, 0.253], [0.245, 0.331, 0.236, 0.188]]]"
